date,event_type,event_subtype,description,historical_value,surprise_direction,market_impact_notes
2020-01-03,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2020-01),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2020-01-13,CPI,cpi_monthly,Consumer Price Index (2020-01),,,Key inflation indicator — high impact on rate expectations
2020-01-17,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2020-01-28,GDP,gdp_advance,GDP Advance Estimate — Q4 2019,,,
2020-01-29,FOMC,hold,FOMC Meeting — hold to 1.50-1.75%,1.50-1.75%,,
2020-02-07,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2020-02),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2020-02-13,CPI,cpi_monthly,Consumer Price Index (2020-02),,,Key inflation indicator — high impact on rate expectations
2020-02-19,MARKET_EVENT,correction_start,COVID-19 selloff begins — S&P 500 peaks at 3386,,,S&P dropped 34% in 23 trading days
2020-02-21,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2020-03-03,FOMC,cut,FOMC Meeting — cut to 1.00-1.25% (Emergency cut — COVID-19),1.00-1.25%,,Emergency cut — COVID-19
2020-03-06,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2020-03),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2020-03-09,MARKET_EVENT,circuit_breaker,Circuit breaker triggered — S&P 500 -7% at open,,,First circuit breaker since 1997
2020-03-12,MARKET_EVENT,circuit_breaker,Circuit breaker triggered again — S&P 500 -9.5%,,,Largest single-day drop since 1987
2020-03-13,CPI,cpi_monthly,Consumer Price Index (2020-03),,,Key inflation indicator — high impact on rate expectations
2020-03-15,FOMC,cut,FOMC Meeting — cut to 0.00-0.25% (Emergency cut to zero — COVID-19 pandemic),0.00-0.25%,,Emergency cut to zero — COVID-19 pandemic
2020-03-16,MARKET_EVENT,circuit_breaker,Circuit breaker triggered — S&P 500 -12%,,,Third circuit breaker in one week
2020-03-20,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2020-03-20,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
2020-03-23,MARKET_EVENT,bear_market_bottom,COVID bear market bottom — S&P 500 at 2237,,,34% drawdown from peak
2020-04-03,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2020-04),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2020-04-13,CPI,cpi_monthly,Consumer Price Index (2020-04),,,Key inflation indicator — high impact on rate expectations
2020-04-17,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2020-04-28,GDP,gdp_advance,GDP Advance Estimate — Q1 2020,,,
2020-04-29,FOMC,hold,FOMC Meeting — hold to 0.00-0.25%,0.00-0.25%,,
2020-05-01,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2020-05),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2020-05-13,CPI,cpi_monthly,Consumer Price Index (2020-05),,,Key inflation indicator — high impact on rate expectations
2020-05-15,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2020-06-05,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2020-06),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2020-06-10,FOMC,hold,FOMC Meeting — hold to 0.00-0.25%,0.00-0.25%,,
2020-06-12,CPI,cpi_monthly,Consumer Price Index (2020-06),,,Key inflation indicator — high impact on rate expectations
2020-06-19,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2020-06-19,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
2020-07-03,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2020-07),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2020-07-13,CPI,cpi_monthly,Consumer Price Index (2020-07),,,Key inflation indicator — high impact on rate expectations
2020-07-17,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2020-07-28,GDP,gdp_advance,GDP Advance Estimate — Q2 2020,,,
2020-07-29,FOMC,hold,FOMC Meeting — hold to 0.00-0.25%,0.00-0.25%,,
2020-08-07,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2020-08),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2020-08-13,CPI,cpi_monthly,Consumer Price Index (2020-08),,,Key inflation indicator — high impact on rate expectations
2020-08-21,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2020-09-04,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2020-09),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2020-09-11,CPI,cpi_monthly,Consumer Price Index (2020-09),,,Key inflation indicator — high impact on rate expectations
2020-09-16,FOMC,hold,FOMC Meeting — hold to 0.00-0.25% (Forward guidance updated),0.00-0.25%,,Forward guidance updated
2020-09-18,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2020-09-18,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
2020-10-02,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2020-10),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2020-10-13,CPI,cpi_monthly,Consumer Price Index (2020-10),,,Key inflation indicator — high impact on rate expectations
2020-10-16,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
